login,logout,d1_q1,d1_q2,d1_q3,d2_q1,d2_q2,d2_q3,d3_q1,d3_q2,d3_q3,d4_q1,d4_q2,d4_q3,d5_q1,d5_q2,d5_q3,a_q1_t1,a_q1_t2,a_q2_t1,a_q2_t2,a_q3_t1,a_q3_t2,drop,studentNum
2,2,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,10,5,10,4,2,4,no,0010118032950
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0592118032485
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,001010910582
2,2,10,5,10,10,5,7,0,0,0,0,0,0,0,0,0,10,5,8.5,4,2,3.4,no,0010118032121
2,2,5,7,5,5,7,5,0,0,0,0,0,0,0,0,0,5,7,5,2,2.8,2,no,0755118031100
2,2,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,10,10,10,4,4,4,no,0010116120074
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,0021118030291
2,2,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,10,5,10,4,2,4,no,001011240325
2,2,10,5,7,10,5,7,0,0,0,0,0,0,0,0,0,10,5,7,4,2,2.8,no,001010992014
2,2,10,5,7,10,5,7,0,0,0,0,0,0,0,0,0,10,5,7,4,2,2.8,no,0021118030346
1,2,10,10,5,10,5,5,0,0,0,0,0,0,0,0,0,10,7.5,5,4,3,2,no,001011110279
2,2,10,7,5,10,7,5,0,0,0,0,0,0,0,0,0,10,7,5,4,2.8,2,no,001013110145
2,2,10,10,7,10,10,7,0,0,0,0,0,0,0,0,0,10,10,7,4,4,2.8,no,001011120944
2,2,0,0,0,10,5,10,0,0,0,0,0,0,0,0,0,10,5,10,2,1,2,no,0010118033825
2,1,0,0,0,10,5,7,0,0,0,0,0,0,0,0,0,10,5,7,2,1,1.4,no,0010118032050
2,2,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,10,5,10,4,2,4,no,0010118033556
2,2,10,5,7,10,5,7,0,0,0,0,0,0,0,0,0,10,5,7,4,2,2.8,no,0010118032008
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0021118030363
1,1,0,0,0,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,2,2,1,no,0021115040246
2,1,10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,10,10,5,2,2,1,no,001011231003
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,0010116120466
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0021118033049
2,2,10,5,5,10,5,5,0,0,0,0,0,0,0,0,0,10,5,5,4,2,2,no,0010114120992
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0755118032058
2,2,10,7,7,10,10,10,0,0,0,0,0,0,0,0,0,10,8.5,8.5,4,3.4,3.4,no,001011260522
2,2,10,10,5,5,10,5,0,0,0,0,0,0,0,0,0,7.5,10,5,3,4,2,no,0021118032304
2,2,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,10,5,10,4,2,4,no,0010115070999
2,2,10,5,7,10,5,7,0,0,0,0,0,0,0,0,0,10,5,7,4,2,2.8,no,0010115020234
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0021115032112
2,2,10,5,7,10,5,7,0,0,0,0,0,0,0,0,0,10,5,7,4,2,2.8,no,0010118022374
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,0020115070598
2,2,10,7,5,10,7,5,0,0,0,0,0,0,0,0,0,10,7,5,4,2.8,2,no,0020118033071
2,1,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0,5,7,5,1,1.4,1,no,0010115071793
2,2,10,5,7,10,5,7,0,0,0,0,0,0,0,0,0,10,5,7,4,2,2.8,no,0010118033023
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0021115051168
2,1,10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,10,10,5,2,2,1,drop,0755118032579
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0028118032448
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0010118032511
2,2,10,5,5,10,10,5,0,0,0,0,0,0,0,0,0,10,7.5,5,4,3,2,no,0021118031499
2,2,7,5,7,10,5,7,0,0,0,0,0,0,0,0,0,8.5,5,7,3.4,2,2.8,no,0010118032746
2,2,2,10,10,2,10,10,0,0,0,0,0,0,0,0,0,2,10,10,0.8,4,4,no,0010118031481
2,2,7,7,5,5,10,5,0,0,0,0,0,0,0,0,0,6,8.5,5,2.4,3.4,2,no,0021118032806
2,2,10,10,7,10,7,7,0,0,0,0,0,0,0,0,0,10,8.5,7,4,3.4,2.8,no,0010118033270
2,2,2,5,10,2,5,10,0,0,0,0,0,0,0,0,0,2,5,10,0.8,2,4,no,0010118032264
2,2,10,5,7,10,5,5,0,0,0,0,0,0,0,0,0,10,5,6,4,2,2.4,no,0010118030595
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0571118033634
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0028118032969
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,0021118060196
1,1,10,5,7,0,0,0,0,0,0,0,0,0,0,0,0,10,5,7,2,1,1.4,drop,0010118033468
2,2,10,5,5,10,7,5,0,0,0,0,0,0,0,0,0,10,6,5,4,2.4,2,no,0021116023948
2,2,10,10,5,7,10,5,0,0,0,0,0,0,0,0,0,8.5,10,5,3.4,4,2,no,0023118010877
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,0010118021004
2,2,10,7,5,10,10,5,0,0,0,0,0,0,0,0,0,10,8.5,5,4,3.4,2,no,0755118020612
1,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0021115101677
2,2,10,5,5,10,5,5,0,0,0,0,0,0,0,0,0,10,5,5,4,2,2,no,0371118030612
2,2,7,5,10,10,5,10,0,0,0,0,0,0,0,0,0,8.5,5,10,3.4,2,4,no,0010118040078
2,2,0,0,0,10,5,10,0,0,0,0,0,0,0,0,0,10,5,10,2,1,2,no,0010115120700
2,2,10,5,5,10,5,5,0,0,0,0,0,0,0,0,0,10,5,5,4,2,2,no,0010118032018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,0531118033543
2,2,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,10,5,10,4,2,4,drop,0592117120778
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,0010118032545
2,2,0,0,0,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,2,2,1,no,0531118033792
1,1,7,5,7,0,0,0,0,0,0,0,0,0,0,0,0,7,5,7,1.4,1,1.4,no,0010118032388
1,1,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,10,10,10,2,2,2,no,0010118033181
1,1,10,10,7,0,0,0,0,0,0,0,0,0,0,0,0,10,10,7,2,2,1.4,drop,0010118033763
2,2,5,5,7,10,5,10,0,0,0,0,0,0,0,0,0,7.5,5,8.5,3,2,3.4,no,0010118032999
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,0021117111819
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0592118030355
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0010116011886
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,0592118031849
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,0027118050087
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0010118032232
2,2,10,5,5,10,5,10,0,0,0,0,0,0,0,0,0,10,5,7.5,4,2,3,no,0010117011155
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,0010118033082
2,2,10,7,5,10,7,5,0,0,0,0,0,0,0,0,0,10,7,5,4,2.8,2,no,0023118032633
2,2,5,5,7,10,5,7,0,0,0,0,0,0,0,0,0,7.5,5,7,3,2,2.8,no,0028116030978
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,0027117050268
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0029116021530
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0021118033473
2,2,10,5,7,10,5,7,0,0,0,0,0,0,0,0,0,10,5,7,4,2,2.8,no,0021118033765
2,2,10,5,5,10,5,10,0,0,0,0,0,0,0,0,0,10,5,7.5,4,2,3,no,0021118032977
2,2,10,5,7,10,5,7,0,0,0,0,0,0,0,0,0,10,5,7,4,2,2.8,no,0010118022387
2,2,10,5,7,10,5,7,0,0,0,0,0,0,0,0,0,10,5,7,4,2,2.8,no,0010118032549
2,2,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,10,10,10,4,4,4,no,0010118031862
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0027118032881
2,2,10,5,7,10,5,5,0,0,0,0,0,0,0,0,0,10,5,6,4,2,2.4,no,0010118033223
2,2,10,5,5,10,5,5,0,0,0,0,0,0,0,0,0,10,5,5,4,2,2,no,0755117031300
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0025118032891
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0028118031368
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0592118030728
2,2,10,7,5,10,10,5,0,0,0,0,0,0,0,0,0,10,8.5,5,4,3.4,2,no,0025118031130
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,0029118050269
2,2,10,5,5,10,5,5,0,0,0,0,0,0,0,0,0,10,5,5,4,2,2,no,0571118010415
2,2,10,7,5,10,10,5,0,0,0,0,0,0,0,0,0,10,8.5,5,4,3.4,2,no,0027118033379
2,2,10,10,7,10,10,7,0,0,0,0,0,0,0,0,0,10,10,7,4,4,2.8,no,0010116100685
2,2,2,10,5,2,10,5,0,0,0,0,0,0,0,0,0,2,10,5,0.8,4,2,no,0021118033734
2,2,7,10,5,7,10,5,0,0,0,0,0,0,0,0,0,7,10,5,2.8,4,2,no,0755118020127
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,0010118031480
2,2,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,10,10,10,4,4,4,no,0010118032370
2,2,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,10,10,10,4,4,4,no,0592116110401
2,1,10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,10,10,5,2,2,1,drop,0021118050146
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0028117032119
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0028118033387
2,2,10,10,5,5,10,5,0,0,0,0,0,0,0,0,0,7.5,10,5,3,4,2,no,0020118031785
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,0010118033666
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0571116101308
2,2,10,5,10,10,5,7,0,0,0,0,0,0,0,0,0,10,5,8.5,4,2,3.4,no,0010118033491
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0020118040624
1,2,10,10,5,10,7,5,0,0,0,0,0,0,0,0,0,10,8.5,5,4,3.4,2,no,0755116075981
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0021118033328
2,2,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,10,5,10,4,2,4,no,0010118033152
2,2,10,10,5,10,5,5,0,0,0,0,0,0,0,0,0,10,7.5,5,4,3,2,no,0021116110976
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0021118033692
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0571118032575
2,2,10,7,5,10,7,5,0,0,0,0,0,0,0,0,0,10,7,5,4,2.8,2,no,0023118032607
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0021118030540
2,2,10,5,7,10,5,7,0,0,0,0,0,0,0,0,0,10,5,7,4,2,2.8,no,0010118033502
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0371118031685
2,2,10,7,5,10,5,5,0,0,0,0,0,0,0,0,0,10,6,5,4,2.4,2,drop,0021117010496
2,2,7,5,7,10,5,10,0,0,0,0,0,0,0,0,0,8.5,5,8.5,3.4,2,3.4,no,0021118030246
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0021118032709
2,2,10,10,5,5,10,5,0,0,0,0,0,0,0,0,0,7.5,10,5,3,4,2,no,0028118033046
2,2,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,10,10,10,4,4,4,no,0010116101729
2,2,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,10,10,10,4,4,4,no,0010118033565
2,2,10,5,5,10,5,7,0,0,0,0,0,0,0,0,0,10,5,6,4,2,2.4,no,0010118031736
2,2,10,5,5,10,5,7,0,0,0,0,0,0,0,0,0,10,5,6,4,2,2.4,no,0010118030104
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0025118031850
1,2,7,7,5,10,7,5,0,0,0,0,0,0,0,0,0,8.5,7,5,3.4,2.8,2,no,0755117120789
2,2,10,5,7,10,5,7,0,0,0,0,0,0,0,0,0,10,5,7,4,2,2.8,no,0021118021146
2,2,5,10,10,10,10,10,0,0,0,0,0,0,0,0,0,7.5,10,10,3,4,4,no,0028117060716
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0755116122527
2,2,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,10,5,10,4,2,4,no,0010116113788
1,2,10,5,7,10,5,7,0,0,0,0,0,0,0,0,0,10,5,7,4,2,2.8,no,0010118032016
2,2,10,10,5,10,7,5,0,0,0,0,0,0,0,0,0,10,8.5,5,4,3.4,2,no,0371118050696
2,2,10,5,5,10,10,5,0,0,0,0,0,0,0,0,0,10,7.5,5,4,3,2,no,0023118031827
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,0025118031767
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,0010118030916
2,2,10,7,5,10,10,5,0,0,0,0,0,0,0,0,0,10,8.5,5,4,3.4,2,no,0571116121860
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0021117110242
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0755118031998
2,2,7,10,5,10,10,5,0,0,0,0,0,0,0,0,0,8.5,10,5,3.4,4,2,no,0755117030839
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,0021118030725
1,1,10,5,7,0,0,0,0,0,0,0,0,0,0,0,0,10,5,7,2,1,1.4,drop,0010116124080
2,2,10,7,5,10,7,5,0,0,0,0,0,0,0,0,0,10,7,5,4,2.8,2,no,0755118031097
2,2,10,10,10,5,10,5,0,0,0,0,0,0,0,0,0,7.5,10,7.5,3,4,3,no,0010118030310
2,2,10,5,7,10,5,10,0,0,0,0,0,0,0,0,0,10,5,8.5,4,2,3.4,no,0021118031465
2,2,10,10,5,5,10,5,0,0,0,0,0,0,0,0,0,7.5,10,5,3,4,2,no,0531118031929
2,2,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,10,10,10,4,4,4,no,0010118032515
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0010118021318
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0025118022322
2,2,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,10,5,10,4,2,4,no,0010118033113
2,2,10,7,5,10,5,5,0,0,0,0,0,0,0,0,0,10,6,5,4,2.4,2,no,0021117061106
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,0029118032064
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,0025118031399
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0025118032251
2,2,10,7,5,0,10,5,0,0,0,0,0,0,0,0,0,5,8.5,5,2,3.4,2,no,0027118030433
2,2,10,5,7,10,5,7,0,0,0,0,0,0,0,0,0,10,5,7,4,2,2.8,no,0010118032922
2,2,10,5,7,7,5,7,0,0,0,0,0,0,0,0,0,8.5,5,7,3.4,2,2.8,no,0021118031866
2,2,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,10,5,10,4,2,4,no,0021117100443
2,2,10,5,5,7,7,5,0,0,0,0,0,0,0,0,0,8.5,6,5,3.4,2.4,2,no,0023118031963
1,2,7,5,5,10,5,7,0,0,0,0,0,0,0,0,0,8.5,5,6,3.4,2,2.4,no,0010117023514
2,2,5,10,5,10,10,5,0,0,0,0,0,0,0,0,0,7.5,10,5,3,4,2,no,0571118030043
2,2,10,5,10,10,5,7,0,0,0,0,0,0,0,0,0,10,5,8.5,4,2,3.4,no,0010118030593
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0010118030883
2,2,10,5,10,10,5,7,0,0,0,0,0,0,0,0,0,10,5,8.5,4,2,3.4,no,0010118031636
2,2,10,10,5,10,10,5,0,0,0,0,0,0,0,0,0,10,10,5,4,4,2,no,0025118030812
2,2,10,5,5,10,7,5,0,0,0,0,0,0,0,0,0,10,6,5,4,2.4,2,no,0025118031344
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,0029118030811
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,0028118020970
2,2,10,7,5,10,10,5,0,0,0,0,0,0,0,0,0,10,8.5,5,4,3.4,2,no,0755117050564
2,2,5,7,5,10,10,5,0,0,0,0,0,0,0,0,0,7.5,8.5,5,3,3.4,2,no,0020118032479
2,2,2,10,10,10,10,10,0,0,0,0,0,0,0,0,0,6,10,10,2.4,4,4,no,0010118030740
0,1,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,5,5,1.4,1,1,no,0021118033542
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0021117111168
2,2,10,7,10,10,10,10,0,0,0,0,0,0,0,0,0,10,8.5,10,4,3.4,4,no,0010117034606
2,2,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,10,10,10,4,4,4,no,0010118031377
