login,logout,d1_q1,d1_q2,d1_q3,d2_q1,d2_q2,d2_q3,d3_q1,d3_q2,d3_q3,a_q1_t1,a_q1_t2,a_q2_t1,a_q2_t2,a_q3_t1,a_q3_t2,feePercent,paid,drop,studentNumber
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,001010980153
3,3,10,5,10,10,5,10,10,5,10,10,5,10,10,5,10,1,0,no,0010118032950
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0592118032485
3,3,10,5,10,10,5,7,10,5,10,10,5,9,10,5,9,1,0,no,0010118032121
3,3,5,7,5,5,7,5,10,7,5,6.6666666666667,7,5,6.6666666666667,7,5,1,0,no,0755118031100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,out,0020118032985
3,3,10,10,5,5,10,5,10,10,5,8.3333333333333,10,5,8.3333333333333,10,5,1,0,no,0021118050284
3,3,10,5,5,10,10,5,10,7,5,10,7.3333333333333,5,10,7.3333333333333,5,1,0,no,0021118050363
3,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1.17,0,no,0010116120074
3,3,10,5,10,10,5,10,10,5,10,10,5,10,10,5,10,1,0,no,001011240325
3,3,10,5,7,10,5,7,10,5,7,10,5,7,10,5,7,1,1,no,001010992014
3,3,10,5,5,7,10,5,7,10,5,8,8.3333333333333,5,8,8.3333333333333,5,1,0,no,0020117110717
3,3,10,10,5,10,10,5,10,10,5,10,10,5,10,10,5,1,0,no,0021118040529
3,3,10,5,5,5,5,5,10,10,5,8.3333333333333,6.6666666666667,5,8.3333333333333,6.6666666666667,5,1,0,no,001011001185
3,3,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,1,0,no,001011001947
3,3,10,5,7,10,5,7,10,5,7,10,5,7,10,5,7,1,0,no,0021118030346
2,2,10,10,5,10,5,5,0,0,0,10,7.5,5,6.6666666666667,5,3.3333333333333,0,0,drop,001011110279
3,3,10,7,5,10,7,5,10,7,5,10,7,5,10,7,5,1,0,no,001013110145
3,3,10,5,7,10,5,7,10,5,7,10,5,7,10,5,7,1,0,no,0010118021381
3,3,10,10,7,10,10,7,10,7,7,10,9,7,10,9,7,1,0,no,001011120944
3,3,10,10,5,5,10,5,10,10,5,8.3333333333333,10,5,8.3333333333333,10,5,1,0,no,0571118040760
3,3,10,10,5,7,10,5,2,10,5,6.3333333333333,10,5,6.3333333333333,10,5,1,0,no,0021118040169
3,3,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,1,0,no,0010118050573
3,1,0,0,0,10,5,7,0,0,0,10,5,7,3.3333333333333,1.6666666666667,2.3333333333333,0,0,out,0010118032050
3,3,10,7,5,10,7,5,10,7,5,10,7,5,10,7,5,1,0,no,0021118040930
3,3,10,5,10,10,5,10,10,5,10,10,5,10,10,5,10,1,0,no,0010118033556
3,3,10,5,5,10,7,5,10,7,5,10,6.3333333333333,5,10,6.3333333333333,5,1,0,no,0021118022258
3,3,10,5,7,10,5,7,10,5,7,10,5,7,10,5,7,1,0,no,0010118032008
3,3,10,5,7,10,5,7,10,5,10,10,5,8,10,5,8,1,0,no,0010116010726
3,3,10,10,5,10,10,5,5,10,5,8.3333333333333,10,5,8.3333333333333,10,5,1,0,no,0021118030363
2,2,0,0,0,10,10,5,10,7,5,10,8.5,5,6.6666666666667,5.6666666666667,3.3333333333333,1,0,no,0021115040246
2,1,10,10,5,0,0,0,0,0,0,10,10,5,3.3333333333333,3.3333333333333,1.6666666666667,0,0,out,001011231003
