login,logout,d1_q1,d1_q2,d1_q3,d2_q1,d2_q2,d2_q3,d3_q1,d3_q2,d3_q3,d4_q1,d4_q2,d4_q3,d5_q1,d5_q2,d5_q3,a_q1_t1,a_q1_t2,a_q2_t1,a_q2_t2,a_q3_t1,a_q3_t2,drop
5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,no
5,5,10,10,10,7,10,5,10,10,7,10,7,10,10,10,10,9.4,9.4,8.4,9.4,9.4,8.4,no
0,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,drop
5,5,10,2,5,7,5,5,10,5,5,10,5,5,2,5,2,7.8,4.4,4.4,7.8,4.4,4.4,no
1,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,drop
0,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,drop
4,5,7,10,10,10,7,5,10,10,7,10,10,7,7,10,7,8.8,9.4,7.2,8.8,9.4,7.2,no
0,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,drop
0,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,drop
0,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,drop
0,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,drop
0,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,drop
0,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,drop
0,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,drop
0,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,drop
0,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,drop
0,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,drop
5,5,10,10,7,10,7,7,10,7,5,7,10,5,7,10,7,8.8,8.8,6.2,8.8,8.8,6.2,no
5,5,10,10,7,10,10,5,10,10,7,10,7,7,10,7,7,10,8.8,6.6,10,8.8,6.6,no
5,5,10,5,5,10,5,2,10,5,2,10,5,5,10,10,7,10,6,4.2,10,6,4.2,drop
0,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,no
0,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,drop
0,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,drop
1,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,drop
0,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,drop
0,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,drop
0,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,drop
5,5,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,drop
5,5,10,10,10,10,10,10,10,10,10,10,10,7,10,10,7,10,10,8.8,10,10,8.8,no
0,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,drop
5,5,10,5,5,7,5,5,7,5,5,7,5,5,10,5,5,8.2,5,5,8.2,5,5,no
5,5,10,10,7,10,10,7,10,10,7,5,10,7,10,10,10,9,10,7.6,9,10,7.6,no
0,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,drop
0,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,drop
5,5,10,7,7,10,10,7,10,10,10,10,10,10,10,10,10,10,9.4,8.8,10,9.4,8.8,no
0,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,drop
0,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,drop
0,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,drop
5,5,10,10,7,10,10,7,10,10,7,10,10,7,10,10,7,10,10,7,10,10,7,no
0,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,drop
0,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,drop
5,5,10,10,10,10,10,7,10,10,7,7,10,7,7,10,7,8.8,10,7.6,8.8,10,7.6,no
0,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,drop
0,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,drop
0,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,drop
5,5,10,10,7,10,10,7,10,10,7,10,10,7,10,10,7,10,10,7,10,10,7,no
0,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,0,0,0,10,5,5,drop
