login,logout,d1_q1,d1_q2,d1_q3,d2_q1,d2_q2,d2_q3,d3_q1,d3_q2,d3_q3,d4_q1,d4_q2,d4_q3,d5_q1,d5_q2,d5_q3,a_q1_t1,a_q1_t2,a_q2_t1,a_q2_t2,a_q3_t1,a_q3_t2,drop
0,5,2,1,5,2,4,0,2,2,2,1,0,3,2,4,0,4.9587145,1.5548253,1.6823027,4.081244,0.39197832,3.7150745,drop
5,0,4,2,5,5,4,3,0,0,3,5,3,0,0,4,4,4.7467756,4.558074,2.650928,3.813888,3.330312,3.858127,drop
2,5,3,4,1,3,5,2,2,1,5,1,3,3,1,5,2,0.9639144,2.4324994,2.2658892,3.1526775,0.37119776,3.807464,no
0,2,2,0,5,2,5,4,4,0,0,1,5,3,0,5,5,0.0324288,1.4262245,3.492692,1.8951315,2.2029784,0.22387058,drop
0,1,5,3,1,4,0,3,5,1,4,5,5,1,3,3,0,3.1907654,3.7248535,1.315386,2.078719,1.0450866,2.9696012,no
3,2,3,4,0,2,1,4,1,5,3,3,3,1,1,2,1,4.440133,0.07103026,1.0788515,0.13514996,1.7632105,0.08132577,no
4,1,4,5,5,1,0,3,5,0,5,0,2,1,3,2,1,3.4295654,0.06938249,1.0096037,2.8751817,0.5813953,1.415551,drop
5,5,5,2,0,3,5,0,2,5,2,1,1,2,0,2,0,4.545063,1.0624733,1.074023,4.424592,4.9410768,4.6505785,no
3,2,4,4,4,0,0,1,4,5,2,2,3,3,3,5,3,4.994652,2.151989,3.7416208,0.6301436,2.0307133,1.3975447,drop
1,3,3,0,2,2,5,4,3,1,3,2,2,5,1,5,4,3.0922034,4.1420126,4.911854,2.9082284,0.8845952,4.9516063,drop
2,3,0,0,3,1,4,0,2,0,0,4,1,1,1,2,3,1.9675392,3.9145355,2.6274517,4.4573145,1.5533668,4.2722707,no
3,1,2,2,0,1,1,3,5,3,2,4,4,0,3,0,5,4.507741,0.3652951,4.8027186,1.5501279,2.0847678,3.6356308,drop
5,5,2,3,0,3,5,4,5,4,1,0,4,0,3,3,4,1.6042465,4.757864,1.9227761,1.833323,2.7189326,4.9223084,no
5,3,5,0,5,4,4,3,0,3,2,3,4,4,4,3,1,3.7751913,3.6694596,4.3778286,2.9640903,4.8799105,4.188653,drop
3,0,0,1,2,4,3,4,4,0,4,2,1,1,5,0,3,3.6534328,2.8351789,4.5974884,1.7220467,4.999969,0.37747383,drop
4,5,0,4,2,2,5,3,2,4,2,5,0,1,1,2,4,0.25021315,0.6826854,2.002163,0.04044056,2.2180274,0.4116398,no
4,5,2,2,0,0,2,4,5,1,2,4,0,5,0,1,5,0.9657657,2.3387232,3.3758557,0.29704362,4.198825,1.5797255,drop
1,1,5,5,3,0,0,2,5,1,3,1,1,2,2,2,4,2.965538,1.0702131,3.8590755,0.9901872,0.27428687,3.647585,drop
1,2,4,0,2,0,5,2,1,0,3,4,4,1,3,0,0,0.033905208,0.41692257,1.7210561,4.8266797,3.2448702,0.470286,no
5,1,2,1,5,4,4,1,3,5,5,1,3,2,1,0,0,0.4537022,2.0791862,3.0640302,3.4729507,2.5452747,1.2132245,no
0,0,4,5,2,2,5,3,1,2,4,2,3,4,4,2,0,0.7454476,1.2276266,4.6996956,0.72659373,4.228634,2.2350059,drop
3,4,3,4,2,2,2,0,4,4,0,0,2,3,5,2,0,1.7786815,2.7482798,4.0937376,2.0902157,1.8267804,3.8996549,no
5,4,4,5,1,4,2,5,0,3,5,5,2,1,2,0,2,1.838755,2.828132,2.874278,1.6108006,3.520427,0.6441161,no
2,3,5,0,0,2,4,1,4,1,4,1,1,4,1,4,3,0.05349785,0.14048427,3.4318929,1.8090338,4.2783446,1.087873,drop
4,1,4,3,0,3,5,5,5,4,3,4,2,5,4,3,3,1.1763495,4.551095,2.3561285,4.6956487,0.5972028,2.9703689,no
2,0,5,2,2,3,3,0,5,2,4,5,0,3,3,4,5,3.2616205,4.9513307,3.41756,3.6662583,0.88355184,3.9481921,drop
3,3,0,1,5,1,1,4,4,3,4,0,0,3,2,0,4,1.7669076,2.1283293,4.721441,2.2989285,0.6877494,0.2043581,drop
4,2,0,4,2,0,4,3,2,2,1,0,1,1,4,0,5,3.2745984,4.562344,0.14266133,1.2071407,4.6247816,3.6817613,drop
2,5,3,0,5,5,0,4,5,0,2,0,2,3,4,1,4,0.42111725,1.7474031,3.5092664,4.708008,4.379694,4.931177,drop
2,5,0,1,4,1,3,1,0,5,0,2,1,4,5,0,3,2.9428315,1.5319953,4.8585668,4.586407,1.7464747,0.7526213,drop
1,4,4,0,5,0,0,5,4,3,5,0,1,4,5,1,1,3.386924,3.0887165,0.63961416,4.0036125,2.9210382,2.7465425,no
4,3,1,1,2,0,3,0,3,5,3,5,1,4,2,1,4,1.4535604,0.23477554,3.6178257,3.6409209,4.5203643,1.3437587,no
5,2,4,1,4,3,2,1,3,2,4,2,5,4,2,1,0,3.316049,1.0576699,3.0165064,0.7669309,2.5246894,1.9154546,no
5,0,3,4,4,5,3,1,4,4,2,0,2,3,1,4,0,2.519762,2.8233993,4.866963,3.8011637,0.93494654,4.753883,no
3,4,4,3,4,3,1,2,0,5,3,4,0,3,5,0,1,0.42800993,3.7462208,0.31579524,0.073397756,4.6492553,3.7891312,no
2,1,0,0,4,1,5,4,0,0,3,3,0,5,4,3,4,1.6522628,1.4590985,4.9131026,0.69901824,2.9919436,4.3957386,no
5,3,4,2,0,4,4,5,2,0,3,1,5,4,3,5,5,4.894004,0.21359324,1.0486382,1.0028198,2.0076299,3.457488,no
1,3,5,5,5,0,1,1,5,5,0,4,3,4,2,2,5,2.838529,1.2495158,0.77607065,2.240868,4.6337214,4.3338375,drop
3,3,0,1,5,4,4,5,3,4,1,0,5,2,2,1,4,1.8165908,0.034543276,1.2835008,4.647431,3.1429136,4.1203575,drop
2,1,0,0,5,5,4,1,2,1,2,5,1,0,3,0,5,4.5155883,4.08109,2.9954135,3.7215412,4.373582,2.6409373,drop
5,4,2,0,3,0,0,5,3,3,0,5,0,3,4,1,2,2.9596922,1.5271232,0.2939853,3.4617543,0.42715102,1.590785,drop
4,5,2,2,1,5,4,2,3,0,3,2,2,5,4,1,1,2.188623,2.4207878,2.7473078,2.9640958,1.1283684,4.0992565,no
0,1,1,5,4,1,5,0,5,4,4,1,1,2,3,4,2,3.7363791,2.9265027,3.0651677,4.81464,4.5722504,4.3124394,drop
0,1,5,3,5,2,3,5,5,2,3,1,1,4,3,4,3,3.3650484,3.6876273,0.82024515,3.1752787,3.5296516,3.1244922,no
3,0,1,2,1,1,1,4,1,5,4,2,0,0,2,0,4,4.210594,4.037557,2.2727907,0.9279007,0.40621996,2.8789802,no
0,3,4,0,1,1,5,3,3,2,1,2,2,4,1,2,0,4.397322,0.3141141,1.9532142,1.1334,2.6325023,3.057743,no
1,3,1,5,4,5,0,4,1,2,3,4,0,4,3,0,5,0.75645953,2.5815425,2.579873,1.530273,2.1452718,2.6192088,drop
3,0,3,0,3,1,4,3,4,4,5,3,1,2,3,5,5,1.1541822,0.5972782,3.0302773,3.8855486,1.762965,0.82142174,no
5,3,0,1,0,4,1,1,1,0,5,2,5,3,1,2,2,0.96024424,2.2904906,3.9531019,4.6420655,2.4890857,3.6753545,drop
0,2,1,4,4,4,2,0,3,3,5,3,2,0,5,2,0,3.2642012,1.703673,0.09724885,2.4699929,4.6072145,4.1484513,no
4,5,1,3,4,4,5,4,4,0,3,0,4,4,1,5,4,3.6822662,3.0205832,1.0628071,0.9162426,3.0601416,0.7046294,no
2,3,3,2,0,1,5,1,1,4,1,0,2,4,4,0,3,2.6390889,4.1770277,1.9877762,4.427139,2.2041626,3.3071928,drop
1,4,2,4,3,2,0,2,1,5,0,1,2,1,3,4,3,0.42783976,3.7107549,3.6181984,0.9866792,3.3979032,0.91245145,no
0,3,4,0,0,3,3,5,2,2,5,0,1,1,1,5,3,0.5255121,3.2951865,1.0575559,1.3828826,0.46318293,1.2047169,drop
4,2,4,2,2,3,1,0,2,4,2,2,1,4,0,4,1,2.2384338,2.8474846,2.9235842,4.7640896,2.4760964,4.349884,no
5,3,2,2,2,0,2,0,1,1,3,2,1,3,2,2,2,0.9387481,0.037848055,2.5885959,3.6301203,3.1905162,1.5646515,drop
5,4,5,1,0,4,3,2,5,4,4,1,4,4,0,4,3,0.8091068,4.387906,3.7881444,2.6342442,3.5294924,3.032837,drop
0,0,4,3,1,2,0,3,3,5,5,5,4,3,5,4,3,3.7813978,0.021116734,3.4741318,2.980688,0.41971922,3.258723,drop
4,0,1,3,1,3,3,1,5,0,0,2,4,1,3,2,2,0.99034935,2.5021875,0.7449123,2.9705124,1.5205693,4.4556437,drop
3,0,1,3,1,1,1,5,5,2,3,1,4,5,1,0,4,0.5748156,3.901073,4.884738,4.7783847,1.4479568,1.8984809,drop
4,3,3,4,3,0,4,0,0,0,3,3,1,1,2,1,2,2.9380875,1.4180443,3.9443321,2.3018003,4.4330487,0.9503859,drop
4,1,1,4,1,4,3,0,5,2,4,3,0,4,5,1,2,3.655806,4.677918,3.4747913,1.6558051,0.27255118,4.1500916,no
2,5,0,5,3,1,2,0,3,1,3,2,1,1,2,4,5,2.052837,1.4651833,2.9912796,1.2653003,2.507408,2.2938445,drop
4,0,2,1,2,3,5,0,2,3,1,4,3,3,1,4,2,3.0893805,0.3855437,1.9652662,3.6695776,3.7895486,3.4644792,drop
0,2,3,4,3,3,4,0,0,1,2,1,3,4,1,1,1,3.2879858,3.739667,1.845935,3.1182098,3.713719,2.1785333,no
3,3,4,1,3,4,2,3,5,5,3,4,4,5,3,3,4,0.88962585,2.5288424,4.455071,2.8807774,3.8934379,2.6707866,drop
4,1,2,5,0,1,1,3,0,4,0,3,3,0,2,0,5,3.11976,4.7362814,1.9592533,4.9401307,3.0420659,2.069718,no
5,2,1,4,3,0,4,5,3,0,3,5,4,0,2,3,0,1.4416975,3.6422584,3.8119745,0.2646613,1.5368054,2.1758304,drop
3,2,1,1,0,1,0,1,1,2,3,1,4,0,0,5,0,3.3414361,2.6639743,4.3609614,4.694078,1.3548121,2.477758,no
1,5,0,5,5,3,1,2,3,4,0,0,3,4,2,4,5,4.092003,4.6569457,0.8906701,4.2756853,2.4497366,4.9679785,no
1,5,1,4,3,2,0,4,3,4,1,0,1,2,0,3,3,4.177423,1.7827163,4.056634,3.3540864,1.5343645,3.4300458,no
4,4,5,1,5,5,4,0,5,2,5,4,1,4,0,0,1,0.5812052,4.6587553,0.95656395,0.18368036,0.95715255,4.7221856,no
3,2,0,3,4,4,5,5,5,1,5,1,0,4,2,4,5,1.98654,3.0314708,1.9621494,3.2858753,2.8430092,3.559127,no
5,2,1,1,2,5,4,0,1,1,4,5,3,5,2,5,2,2.4929352,0.732806,0.5682662,1.8930528,3.590847,1.6345274,no
3,1,3,1,3,5,3,2,0,4,2,1,2,0,3,3,3,0.93751013,2.992435,2.647135,0.77786386,4.8279023,1.5975299,drop
2,4,0,5,2,4,4,0,2,5,2,2,1,4,1,1,4,3.8841786,2.1697247,4.7201796,1.8013489,0.6915003,1.1297369,drop
3,4,0,4,4,3,1,1,5,4,2,5,5,4,3,4,2,1.564733,1.1269253,0.35923302,2.966348,0.7163009,2.534069,drop
5,0,4,5,2,4,1,3,4,2,2,2,1,0,4,5,1,0.25217384,0.4601112,4.3715153,3.0232227,0.20098358,1.8435049,drop
4,5,2,5,2,2,3,1,4,4,5,5,3,1,4,0,3,2.5418985,3.4780216,0.44040948,1.6435454,4.187412,3.3238778,no
3,2,0,2,1,0,3,0,4,5,5,1,5,5,0,0,5,3.5251496,0.44335455,3.6140113,2.1619225,3.4203143,0.7016167,drop
